Invoice Number,Vendor Tax ID,Invoice Item,Total,Date
172561,FR329083,Waste management services,155864 EUR,2018-01-09
690186,FR121212,Professional Services,96908.4 CAD,2018-01-07
942573,RO657483,Beverages and Catering,251902 USD,2018-01-13
448458,RO874231,Concierge Services,186847 CAD,2018-01-16
482777,RO657483,IT Support,215452 USD,2018-01-26
507914,RO657483,Professional Services,5972.4 RON,2018-01-01
689985,RO657483,Waste management services,260317 EUR,2018-01-17
391887,DE325476,Waste management services,341286 CAD,2018-01-13
698196,FR065748,Waste management services,265758 RON,2018-01-06
684843,FR121212,Waste management services,1759.2 RON,2018-01-09
527815,DE325476,Waste management services,358501 CAD,2018-02-28
838589,FR453231,Waste management services,139651 USD,2018-02-24
395974,RO892123,IT Support,320413 EUR,2018-02-20
673772,RO254678,Waste management services,176538 RON,2018-02-26
989776,RO874231,IT Support,130760 EUR,2018-02-23
221772,FR329083,Various paper supplies,338078 RON,2018-02-08
118750,DE987564,Waste management services,203542 USD,2018-02-20
562617,RO125678,Beverages and Catering,73659.6 RON,2018-02-16
333309,FR453231,Concierge Services,176357 CAD,0000-00-00
419161,FR329083,Various paper supplies,42358.8 USD,2018-03-01
924801,FR322345,Concierge Services,137513 EUR,2018-03-02
195597,RO345879,Concierge Services,144234 USD,2018-03-06
951363,FR329083,Professional Services,153821 EUR,2018-03-17
907860,RO125678,Beverages and Catering,24441.6 CAD,2018-03-28
154450,RO657483,Professional Services,292796 CAD,2018-03-05
363304,IT213456,Beverages and Catering,112952 RON,2018-03-16
399349,RO345879,Various paper supplies,117514 EUR,2018-03-01
357093,FR065748,Beverages and Catering,155592 USD,2018-03-07
918353,RO657483,Professional Services,28694.4 USD,2018-04-11
783977,DE763212,Concierge Services,22312.8 CAD,2018-04-22
885850,FR453231,Professional Services,274097 RON,2018-04-24
806472,RO657483,Various paper supplies,269484 RON,2018-04-11
702971,RO874231,IT Support,147719 USD,2018-04-02
235730,FR329083,Professional Services,336840 EUR,2018-04-06
471213,RO874231,Professional Services,316162 USD,2018-04-10
893017,FR065748,Professional Services,44071.2 EUR,2018-04-04
329980,RO892123,Concierge Services,4501.2 CAD,2018-04-12
846988,RO125678,Waste management services,223602 RON,2018-04-23
654513,RO657483,Beverages and Catering,304410 EUR,2018-04-22
539257,DE763212,Concierge Services,50529.6 EUR,2018-04-21
260125,DE763212,Concierge Services,338794 USD,2018-04-27
168032,FR453231,Beverages and Catering,45086.4 CAD,2018-04-21
870281,RO345879,IT Support,108050 RON,2018-04-08
554643,DE325476,Professional Services,285804 EUR,2018-04-21
372256,FR322345,Waste management services,54102 CAD,2018-04-22
567480,DE767565,Waste management services,173597 RON,2018-04-17
852618,RO125678,Various paper supplies,247526 USD,2018-05-22
982531,DE987564,IT Support,114800 USD,2018-05-10
909745,RO874231,IT Support,54962.4 EUR,2018-05-13
705944,RO125678,Professional Services,277972 USD,2018-05-18
699004,RO874231,Waste management services,14930.4 USD,2018-05-26
892583,DE767565,Concierge Services,175631 CAD,2018-05-11
308398,RO254678,IT Support,42614.4 USD,2018-05-16
998291,DE763212,Beverages and Catering,299672 CAD,2018-05-19
684511,RO345879,Various paper supplies,69952.8 CAD,2018-05-03
362439,FR121212,Professional Services,184487 USD,2018-06-21
852221,FR329083,Waste management services,65422.8 EUR,2018-06-06
814185,DE325476,Waste management services,3126 CAD,2018-06-17
955737,FR453231,IT Support,335238 EUR,2018-06-21
